organisation_id,organisation_name,organisation_ror
6A0ADEFA-BD5A-4A24-8D4A-9BE2FAB01DBB,3D Mine Surveying International,https://ror.org/02qv8f649
B6FE8555-40DF-41B3-BD67-17758148A745,Aalto University,https://ror.org/020hwjq30
424ABBF1-472F-42A7-8754-3E00B7ECC723,Aarhus University,https://ror.org/01aj84f44
6ECA5566-03DD-4832-9A24-C075A89416D3,Abertay University,https://ror.org/04mwwnx67
C77DEA4D-EB61-43FC-BB67-2C69DFB2B833,Aberystwyth University,https://ror.org/015m2p889
8B03B6A9-81BB-4AB5-891F-24764592AD7C,ABERYSTWYTH UNIVERSITY,https://ror.org/015m2p889
A6DB5AEA-0CD9-47CC-A517-EA9DBC2CA507,Aboriginal Affairs Northern Dev Canada,https://ror.org/05xmf1h49
1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,AHRC,https://ror.org/0505m1554
235E3A73-D863-4DF7-BCB2-6312EB6E1EE7,Alfred Wegener Institute for Polar and Marine Research,https://ror.org/032e6b942
D43208AC-37C0-4587-8148-C97D456FD32C,Alfred-Wegener Institute for Polar and Marine Research,https://ror.org/032e6b942
54AA7F02-CCCC-476B-BF00-4D5CF5EDFB47,American University,https://ror.org/052w4zt36
C228EFF6-ABD4-429B-AD23-201C7BECF1A5,Amherst College,https://ror.org/028vqfs63
5397946B-AA87-4A0D-93C1-4B6D8E9FF796,Anglia Ruskin University,https://ror.org/0009t4v78
72C69A45-0B5C-4F4C-8733-17FE56FCA60B,Anhui Institute of Optics and Fine Mechanics,https://ror.org/03bzbv419
3E0D9239-49F3-408B-8BCB-821FA798E7B2,Aologuya Ewenke Township Government,https://ror.org/04s5ed403
CE1AF458-0439-4A58-BB7A-B30E70FEDC26,Applied Acoustic Engineering Ltd,https://ror.org/03mw3xk75
3A7CAA74-8A3D-41DF-A6E2-6B4FCB333653,Applied Acoustics Engineering Ltd,https://ror.org/006wz7f31
A799BA8F-BD59-408B-867A-7D4455719DC6,Aquaplan-niva,https://ror.org/03hrf8236
E55B48BC-8285-4A27-A989-67198A29129D,Arctic Institute of North America,https://ror.org/01jsfqj27
2FD68CA4-F246-4294-9420-5FC455D6150E,Arctic Research Consortium of the United States,https://ror.org/00s7dq077
E371B01A-13AA-4594-95AF-4DE153C9EE06,Argonne National Laboratory,https://ror.org/05gvnxz63
198AFEB0-14F0-4F02-AE50-3CF86B1A7AF1,Arran Eco Savvy,https://ror.org/05nsgrk27
F9978BFD-06F4-449F-B1D6-1F35B9B2A297,Asian Institute of Technology,https://ror.org/0403qcr87
C3E1474E-FA4A-4D91-B398-B495D8BBBDF9,Atkins,https://ror.org/036r3bf08
A6F04DE6-48D6-4597-86F1-24A99955D237,Atmospheric and Environmental Research,https://ror.org/04cg70g73
D497C8D4-27A3-4A4A-8754-A12B18A389BB,Aurora College,https://ror.org/05bn6qf70
F9CDA754-F4CA-49F1-BDAC-0B8D7D33B801,Aurora Research Institute,https://ror.org/05bn6qf70
093FD495-0865-4573-B0E9-4CBE7FEF228B,Bahir Dar University,https://ror.org/01670bg46
35C1DD3F-9968-4E43-A977-5F9D89444F9A,Bandung Institute of Technology,https://ror.org/00apj8t60
476C1368-2A60-4939-8671-6A5ED8CA4C9C,Bangor University,https://ror.org/006jb1a24
