subject_text|gcmd_link_code
Agri-environmental science|gcmd.earthdata.nasa.gov/kms/concept/a956d045-3b12-441c-8a18-fac7d33b2b4e
Animal Diseases|none
Animal Science|none
Archaeology|gcmd.earthdata.nasa.gov/kms/concept/bf703f22-9775-460d-86bd-149aaef1acde
Area Studies|gcmd.earthdata.nasa.gov/kms/concept/bc642bd1-d923-47a4-89fa-b99494881768
Atomic & molecular physics|none
Biomolecules & biochemistry|none
Biomolecules & biochemistry|none
Chemical measurement|none
Civil eng. & built environment|none
Climate and climate change|gcmd.earthdata.nasa.gov/kms/concept/c47f6052-634e-40ef-a5ac-13f69f6f4c2a
Climate & Climate Change|gcmd.earthdata.nasa.gov/kms/concept/c47f6052-634e-40ef-a5ac-13f69f6f4c2a
Construction Ops & Management|none
Cultural & museum studies|none
Cultural and Anthrop Geography|none
Development studies|none
Ecol, biodivers. & systematics|gcmd.earthdata.nasa.gov/kms/concept/f1a25060-330c-4f84-9633-ed59ae8c64bf
Energy|none
Energy Storage|none
Environmental Engineering|none
Environmental planning|none
Facility Development|none
Food science & nutrition|none
Genetics & development|none
Geosciences|gcmd.earthdata.nasa.gov/kms/concept/2b9ad978-d986-4d63-b477-0f5efc8ace72
History|none
Human Geography|gcmd.earthdata.nasa.gov/kms/concept/fb93d937-c17c-45d0-a9e3-ca5c8a800ca8
Info. & commun. Technol.|gcmd.earthdata.nasa.gov/kms/concept/d4313915-2d24-424c-a171-30ee9a6f4bb5
Instrument. sensor & detectors|none
Law & legal studies|none
Management & Business Studies|none
Marine environments|gcmd.earthdata.nasa.gov/kms/concept/91697b7d-8f2b-4954-850e-61d5f61c867d
Mathematics|gcmd.earthdata.nasa.gov/kms/concept/c94e9340-2fe5-4254-bcbd-8d8aaed45f6e
Materials sciences|none
Mathematical sciences|none
Medical & health interface|gcmd.earthdata.nasa.gov/kms/concept/da2c70fd-d92b-45be-b159-b2c10cb387c6
Microbial sciences|gcmd.earthdata.nasa.gov/kms/concept/fbec5145-79e6-4ed0-a804-6228aa6daba5
Omic sciences & technologies|none
Operations Management|none
Planetary science|none
Plant & crop science|gcmd.earthdata.nasa.gov/kms/concept/f1c35c74-0b10-46de-9c06-efeda92d383a
Pollution, waste & resources|none
Science-Based Archaeology|none
Social Anthropology|none
Social Geography|none
Social Policy|none
Sociology|none
Solar & terrestrial physics|none
Solar Technology|none
Statistics & Appl. Probability|none
Terrest. & freshwater environ.|gcmd.earthdata.nasa.gov/kms/concept/91c64c46-d040-4daa-b26c-61952fdfaf50
Tools, technologies & methods|gcmd.earthdata.nasa.gov/kms/concept/83150c54-5da8-4ee8-9579-19b95a8dc10c
Transport Ops & Management|none
Visual arts|gcmd.earthdata.nasa.gov/kms/concept/ae0ade63-4d8b-4908-9821-a2ec0bec85bc
Wind Power|none
